signal_1,signal
1+0i,1+0i
0.9792178344297675-0.00000000000000041875190986517667i,0.9791588902764549+0.000008049694505155002i
0.9712847817727286-0.0000000000000015409959315041425i,0.9707618668715611-0.000017650729480081937i
0.9021285436815996-0.0000000000000016687531027073018i,0.900337458627567-0.00000008560762671344481i
0.8680752711963747+0.00000000000000043098035752619905i,0.8635126500903805-0.000034461002548647316i
0.9290228668786394+0.000000000000001569098796925621i,0.9184240689488172-0.00003685467006817215i
0.9393314745540038-0.0000000000000002979601273812199i,0.9196642973572806+0.00004297975957910242i
0.9771060858635313+0.0000000000000025337071457540903i,0.9436542563283371+0.000058013181455488454i
0.9647479813225603+0.000000000000003465537980370387i,0.9152063010402688-0.000035024591666597784i
0.957717828454104-0.000000000000000903871101119157i,0.8879670427473036-0.00004855494917975676i
0.9344713531455816-0.0000000000000021560637635103934i,0.8420524391274883+0.000025933839295899744i
0.9160308011706151+0.0000000000000021029941222467937i,0.7967880555725564-0.000012610758598058754i
0.9475891108146767+0.0000000000000012387529323594772i,0.7898733410796747-0.00016228999677976274i
0.9024098834426505-0.00000000000000003032845017175634i,0.7157302846151888-0.00024191614346669234i
0.9351599745787788-0.0000000000000009886419033111798i,0.6985922356066728-0.00015799257520079878i
0.9572556473738385+0.000000000000000544686331970765i,0.666089563708737-0.00002431595622748484i
0.9733594089754519+0.0000000000000007852761713237086i,0.6242038373560608+0.000010140882248087172i
0.921501503365666-0.00000000000000111461405401848i,0.5399132055554194+0.000002005482294435023i
0.8862940856482758+0.0000000000000008601795080077341i,0.4687348859934582-0.00000527265948217837i
0.9658755895377497-0.00000000000000033207664410190392i,0.4543389094005645-0.000022670372710516287i
0.9504304508856016-0.00000000000000012152750251412444i,0.3933406806811899-0.00002020824938316769i
0.9768377828123775+0.0000000000000010366677760018503i,0.3516202613857111-0.00005008391313625392i
0.9518344953656357-0.0000000000000008019438058412429i,0.29474043854143167-0.00007169078059934903i
0.9467756608080751-0.0000000000000007380163213341392i,0.24859172622411188-0.00007156077339311978i
0.9451119910934057+0.0000000000000005707298503605554i,0.20775849824036097-0.000018802200283576298i
0.9035050386464862+0.0000000000000003942256834623938i,0.16422134077304984+0.0000011326019172325531i
0.9701857762011303+0.0000000000000010566432915831874i,0.14400842319974616-0.0000022064508792728693i
0.9279903375979766-0.0000000000000006076063221316159i,0.1116070724194068-0.0000017130380733293996i
0.9714739046709314+0.00000000000000103293541398991i,0.09320231192278472+0.0000020566034070619966i
0.9821101415037188+0.0000000000000024063412628746057i,0.07421709963817776-0.0000011102595266299982i
0.9592249541283953-0.0000000000000006398168947970608i,0.05660629473404092-0.000008219178541304134i
0.9351462844246974-0.0000000000000023372292630690914i,0.0428491152911366-0.000008107141656598544i
0.8826671629874173-0.0000000000000010908935700384144i,0.030950726050400362-0.000006132480942411591i
0.9628498115096812-0.000000000000001531575992350533i,0.025356350488049243-0.000001996520674101044i
0.9159955076516525-0.0000000000000010023455343238892i,0.018027017554286002-0.0000008338143012685676i
0.9545214719576567-0.0000000000000012122055235813185i,0.013887199934393817-0.0000024036203716286154i
0.9512190732138376-0.000000000000003457088081687922i,0.010110902070652196-0.0000029605339762867608i
0.9586869240102538+0.00000000000000044723504174155i,0.007327443055381681-0.0000013633735296765842i
0.9480702999344781+0.00000000000000035446324548071986i,0.005162612942192949-0.00000002744954404316145i
0.8827610727505233+0.0000000000000005446720968603936i,0.0033871150175960748-0.00000013219322755257266i
0.9563889682872976-0.0000000000000042188397635146126i,0.0025446684518836637-0.0000003511969281300332i
0.9030676091332086+0.0000000000000004721584164246457i,0.0016567320995976853-0.00000020315818868054634i
0.9706838300673756-0.000000000000003056324771490701i,0.001199666220334934-0.00000009507123102127614i
0.9694587420452047-0.0000000000000026226437881415443i,0.0007955591376793147-0.00000008876433326440332i
0.944600436910052-0.0000000000000013398088850340695i,0.0005100186779701747-0.00000007043608851829828i
0.9316739361569629+0.0000000000000006912431464837817i,0.00032835971296495646-0.00000004054179021553627i
0.8780405966332008+0.0000000000000005125591073725749i,0.00019780689931121658-0.000000012456713929666105i
0.9838282111773341+0.0000000000000037383687646462624i,0.00013768861695966802-0.0000000023523729190944957i
0.9275989166840424+0.0000000000000007769882199528562i,0.00008076513388952736+0.000000001980294827096849i
0.9650244022656056-0.0000000000000017755284598740909i,0.00005142857772351029+0.0000000010408650708696385i
0.9712223444381539-0.0000000000000011784933814537343i,0.000031047668879948055+0.0000000009477269272926593i
0.9672635103230609-0.0000000000000004637725875194699i,0.000018176601871439677+0.0000000002937328621116636i
0.965202945870101+0.0000000000000035391670180132716i,0.000010554593436403695-0.00000000014763856155016606i
0.8818235228210205-0.0000000000000019529413817821834i,0.000005536817489664144-0.00000000041821282939753095i
0.9520186451092539+0.00000000000000005176795151737913i,0.0000033410783593950194-0.00000000008450579901142563i
0.8938990164297453-0.000000000000001533528803351349i,0.0000017439811504827895-0.0000000000429128140022972i
0.9717384859277488-0.000000000000000231372062794105i,0.0000010226913518128654-0.00000000007021995287474287i
0.9826952809640873-0.000000000000001878464160858129i,0.000000548956433952902-0.00000000003780925446982143i
0.973675403601504+0.000000000000003015264624801726i,0.00000028641293933058034+0.000000000009416908464332286i
0.9533043077577388-0.0000000000000010425360365407575i,0.000000146576521186111+0.000000000022782654692917287i
0.8715658313117878+0.00000000000000022785769182309275i,0.00000006837491490834579+0.000000000007424807524606335i
